MIC Code,MIC Description
XNSA,THE NIGERIAN STOCK EXCHANGE
XNSE,NATIONAL STOCK EXCHANGE OF INDIA
XNYS,"NEW YORK STOCK EXCHANGE, INC."
XNZE,NEW ZEALAND EXCHANGE LTD
XOFF,OFF-EXCHANGE TRANSACTIONS - LISTED INSTRUMENTS
XOSD,OSLO BORS NORTH SEA - DARK POOL
XOSL,OSLO BORS ASA
XOTC,OTCBB
XPAC,POSIT AUCTION
XPAR,EURONEXT - EURONEXT PARIS
XPHL,NASDAQ OMX PHLX
XPHS,"PHILIPPINE STOCK EXCHANGE, INC."
XPOS,POSIT DARK
XPST,POSIT - ASIA PACIFIC
XPSX,NASDAQ OMX PSX
XSEC,SHENZHEN STOCK EXCHANGE - SHENZHEN - HONG KONG STOCK CONNECT
XSES,SINGAPORE EXCHANGE
XSGA,SOCIETE GENERALE - SYSTEMATIC INTERNALISER
XSGO,SANTIAGO STOCK EXCHANGE
XSHE,SHENZHEN STOCK EXCHANGE
XSSC,SHANGHAI STOCK EXCHANGE - SHANGHAI - HONG KONG STOCK CONNECT
XSTC,HOCHIMINH STOCK EXCHANGE
XSTM,FIDELITY CROSSSTREAM ATS
XSTO,NASDAQ STOCKHOLM AB
XSWM,SIX SWISS EXCHANGE - SIX SWISS EXCHANGE AT MIDPOINT
XSWX,SIX SWISS EXCHANGE
XTAI,TAIWAN STOCK EXCHANGE
XTK1,TOKYO STOCK EXCHANGE - TOSTNET-1
XTKS,TOKYO STOCK EXCHANGE
XTSE,TORONTO STOCK EXCHANGE
XTXM,XTX MARKETS
XUBS,UBS MTF
XUMP,UBS MTF - PERIODIC AUCTION
XVAL,BOLSA DE VALENCIA
XVTX,SIX SWISS EXCHANGE - BLUE CHIPS SEGMENT
XWAR,WARSAW STOCK EXCHANGE/EQUITIES/MAIN MARKET
